snes-00726	A Democratic candidate for Ohio governor revealed he received $20,000 from a pro-Assad group.	true	https://www.snopes.com/fact-check/ohio-candidate-pro-assad-group/	None	Politics	None	Bethania Palma	None	Did an Ohio Gubernatorial Candidate Accept $20,000 from a Pro-Assad Group?	23 April 2018	None	['Ohio', 'Democratic_Party_(United_States)']
snes-03390	Target.com or Target blocked Israel from accessing and shopping their web site.	mostly false	https://www.snopes.com/fact-check/target-blocks-israel-e-commerce-access/	None	Business	None	Kim LaCapria	None	Target Blocks Israel from E-Commerce Access?	8 December 2016	None	['Israel']
snes-06252	Walmart is distributing free gift cards to users who click an online link.	false	https://www.snopes.com/fact-check/walmart-gift-card/	None	Inboxer Rebellion	None	David Mikkelson	None	Walmart Gift Card Scam	9 March 2012	None	['None']
snes-03564	President Obama will issue a “blanket pardon” for Hillary Clinton to cover any undiscovered past crimes.	false	https://www.snopes.com/fact-check/obama-hillary-blanket-pardon/	None	Junk News	None	David Mikkelson	None	President Obama to Issue Hillary a ‘Blanket Pardon’ to Avoid Future Prosecution	11 November 2016	None	['Barack_Obama', 'Hillary_Rodham_Clinton']
snes-00713	Do U.S. Citizens Have the Right to Resist ‘Unlawful Arrest’?	mostly false	https://www.snopes.com/fact-check/right-to-resist-unlawful-arrest/	None	Legal Affairs	None	Dan MacGuill	None	Do U.S. Citizens Have the Right to Resist ‘Unlawful Arrest’?	26 April 2018	None	['None']
snes-03234	Stevie Wonder Death	false	https://www.snopes.com/fact-check/stevie-wonder-death-hoax/	None	Junk News	None	Dan Evon	None	Stevie Wonder Death Hoax	30 December 2016	None	['None']
snes-00372	A person can "survive" living on a diet of nothing but potatoes and butter.	mostly true	https://www.snopes.com/fact-check/potato-butter-diet/	None	Food	None	Arturo Garcia	None	Can a Person Live Off of a Diet of Potatoes and Butter?	5 July 2018	None	['None']
snes-01704	Ben Carson told a hurricane victim that "homelessness is a gift from heaven" and a sign that God wanted them to be homeless.	false	https://www.snopes.com/fact-check/ben-carson-hurricane-homelessness-gift-heaven/	None	Viral Phenomena	None	Arturo Garcia	None	Did Ben Carson Tell Hurricane Victims ‘Homelessness Is A Gift From Heaven’?	19 September 2017	None	['God']
snes-06098	Opinion piece by Bill Cosby details political and social issues he's tired of.	misattributed	https://www.snopes.com/fact-check/im-tired-2/	None	Soapbox	None	David Mikkelson	None	Bill Cosby and “I’m 83 and Tired”	30 March 2010	None	['None']
snes-00287	The Trump re-election campaign is responsible for a surge in orders of "Trump 2020" flags and banners produced in Chinese factories, just before the imposition of U.S. tariffs.	mixture	https://www.snopes.com/fact-check/trump-2020-flags-china/	None	Politics	None	Dan MacGuill	None	Did the Trump 2020 Campaign Order Flags and Banners Made in China?	27 July 2018	None	['United_States', 'China', 'Donald_Trump']
snes-00565	Did Meghan Markle’s Dog Accompany Queen Elizabeth to the Royal Wedding?	false	https://www.snopes.com/fact-check/did-beagle-queen-to-royal-wedding/	None	Critter Country	None	Kim LaCapria	None	Did Meghan Markle’s Dog Accompany Queen Elizabeth to the Royal Wedding?	22 May 2018	None	['None']
snes-01917	President Donald Trump has targeted the family of California Senate President Pro Tempore Kevin de León for deportation.	false	https://www.snopes.com/fact-check/kevin-de-leon-family-deported/	None	Politics	None	Dan MacGuill	None	Did President Donald Trump Target a Democratic State Senator’s Family for Deportation?	11 August 2017	None	['California', 'Donald_Trump']
snes-02297	A video shows a pigeon 'saluting' Russian president Vladimir Putin.	false	https://www.snopes.com/fact-check/pigeon-salute-vladimir-putin/	None	Fauxtography	None	Dan Evon	None	Does This Video Show a Pigeon Saluting Vladimir Putin?	1 June 2017	None	['Vladimir_Putin', 'Russia']
snes-02405	Does the FBI Have Evidence That 62 Million Trump Voters Are Russian Agents?	false	https://www.snopes.com/fact-check/trump-voters-russian-agents/	None	Politics	None	Dan MacGuill	None	Does the FBI Have Evidence That 62 Million Trump Voters Are Russian Agents?	18 May 2017	None	['None']
snes-01316	No two snowflakes are exactly alike.	true	https://www.snopes.com/fact-check/no-two-snowflakes-alike/	None	Science	None	Alex Kasprak	None	Are No Two Snowflakes Exactly Alike?	19 December 2017	None	['None']
snes-00366	American televangelist Joel Osteen has debuted a clothing line called "Sheep's Clothing."	false	https://www.snopes.com/fact-check/joel-osteen-sheeps-clothing/	None	Viral Phenomena	None	Arturo Garcia	None	Did Pastor Joel Osteen Launch a ‘Sheep’s Clothing’ Apparel Line?	7 July 2018	None	['United_States', 'Joel_Osteen']
snes-05107	Contoversial pharmaceuticals trader Martin Shkreli was shot and killed.	false	https://www.snopes.com/fact-check/martin-shkreli-shot-dead/	None	Junk News	None	Kim LaCapria	None	Martin Shkreli Shot Dead?	7 March 2016	None	['None']
snes-01444	Does a Video Show Needlessly Wasted Food at an Ohio Walmart?	miscaptioned	https://www.snopes.com/fact-check/food-waste-walmart/	None	Fauxtography	None	Kim LaCapria	None	Does a Video Show Needlessly Wasted Food at an Ohio Walmart?	13 November 2017	None	['None']
snes-00979	Gun manufacturers have legal immunity from being sued for crimes committed with the weapons or ammunition they sell.	mostly true	https://www.snopes.com/fact-check/gun-manufacturers-crimes-products/	None	Politics	None	Alex Kasprak	None	Gun Manufacturers Can’t Be Sued For Crimes Committed With Their Products?	21 February 2018	None	['None']
snes-02038	An estranged husband named Brandon Dugan recently murdered his wife and three children.	false	https://www.snopes.com/fact-check/mother-3-kids-found-dead-dad-arrested/	None	Junk News	None	David Mikkelson	None	Mother and 3 Kids Found Dead, Dad Arrested	19 July 2017	None	['None']
snes-00698	Actress Allison Mack confessed that she sold children to the Rothschilds and Clintons.	false	https://www.snopes.com/fact-check/allison-mack-rothschild-clinton/	None	Junk News	None	David Mikkelson	None	Did Allison Mack Confess She Sold Children to Rothschilds and Clintons?	30 April 2018	None	['Bill_Clinton', 'Rothschild_family']
snes-00194	Florida 19th Judicial Circuit judge Sherwood "Chip" Bauer gave a black man 26 years in prison and a white man two years' time served, for the same crime, in the same circumstances.	mixture	https://www.snopes.com/fact-check/legleitner-lloyd-florida-race-sentence/	None	Politics	None	Dan MacGuill	None	Did a Florida Judge Give Vastly Different Sentences to Two Men, Whose Only Difference Was Their Race?	20 August 2018	None	['None']
snes-03781	Washington, D.C., has no 'J' Street because city designer Pierre L'Enfant bore a grudge against Chief Justice John Jay.	false	https://www.snopes.com/fact-check/no-way-no-jay/	None	History	None	David Mikkelson	None	Why Does Washington, D.C., Have No ‘J’ Street?	21 January 2000	None	['John_Jay', 'Washington,_D.C.']
snes-01826	Black Lives Matter 'Thugs' Blocked Emergency Crews From Reaching Hurricane Victims?	false	https://www.snopes.com/fact-check/black-lives-matter-emergency-crews-hurricane/	None	Junk News	None	Dan Evon	None	Black Lives Matter ‘Thugs’ Blocked Emergency Crews from Reaching Hurricane Victims?	28 August 2017	None	['None']
snes-04158	North Dakota Governor Jack Dalrymple gave the "green light" to shoot indigenous people on sight.	false	https://www.snopes.com/fact-check/north-dakota-shoot-protesters/	None	Politics	None	Dan Evon	None	North Dakota Gives the Green Light to Shoot Indigenous Tribes on Sight	28 August 2016	None	['Jack_Dalrymple', 'North_Dakota']
snes-04262	A set of photos draws a realistic comparison between the rebuilt city of Hiroshima 65 years after it was destroyed by an atomic bomb and the present-day urban decay of Detroit after 65 years of governance by the Democratic Party.	false	https://www.snopes.com/fact-check/hiroshima-vs-detroit/	None	Uncategorized	None	David Emery	None	Hiroshima vs. Detroit	11 August 2016	None	['Detroit', 'Hiroshima', 'Democratic_Party_(United_States)']
snes-01130	A video shows an airplane on fire in January 2018.	outdated	https://www.snopes.com/fact-check/is-this-video-of-an-airplane-on-fire-real/	None	Fauxtography	None	Dan Evon	None	Is This an Airplane on Fire?	25 January 2018	None	['None']
snes-04353	A photograph shows an orca leaping several feet out of the water.	true	https://www.snopes.com/fact-check/orca-jumping/	None	Fauxtography	None	Dan Evon	None	So Long and Thanks for All the Fish	29 July 2016	None	['None']
