snes-06266	A 2011 chart compares changes in the U.S. national debt over the last several presidencies.	mostly true	https://www.snopes.com/fact-check/who-increased-the-debt/	None	Politicians	None	David Mikkelson	None	Who Increased the Debt?	23 January 2012	None	['United_States']
snes-05356	Pat Robertson claimed David Bowie wasn't dead, but instead that "demons kidnapped him to entertain them in Hell."	false	https://www.snopes.com/fact-check/pat-robertson-david-bowie/	None	Junk News	None	Kim LaCapria	None	Pat Robertson Says David Bowie Isn’t Dead?	15 January 2016	None	['Hell', 'Pat_Robertson']
snes-04412	President Obama plans to ban trucks to avoid a repetition of the July 2016 Nice terror attack.	false	https://www.snopes.com/fact-check/obama-to-ban-trucks-after-nice-attack/	None	Junk News	None	Kim LaCapria	None	Obama to Ban Trucks After Nice Attack	20 July 2016	None	['Barack_Obama']
snes-00676	Congresswoman turned pundit Michele Bachmann said "Kanye is right ... slavery was a choice."	false	https://www.snopes.com/fact-check/did-michele-bachmann-say-kanye-is-right/	None	Junk News	None	Kim LaCapria	None	Did Michele Bachmann Say ‘Kanye is Right’ and Slavery was ‘a Choice’?	2 May 2018	None	['Michele_Bachmann', 'United_States_House_of_Representatives']
snes-01776	Is the City of Sacramento Paying Gang Members $1.5 Million Not to Kill?	mostly false	https://www.snopes.com/fact-check/is-sacramento-paying-gang-members-not-to-kill/	None	Uncategorized	None	Bethania Palma	None	Is the City of Sacramento Paying Gang Members $1.5 Million Not to Kill?	6 September 2017	None	['None']
snes-03780	Pennsylvanians can vote online via social media by using the hashtag #PresidentialElection.	false	https://www.snopes.com/fact-check/can-you-vote-online-with-a-hashtag/	None	Ballot Box	None	Kim LaCapria	None	Can You Vote Online with a Hashtag?	17 October 2016	None	['None']
snes-02876	Republican U.S. representatives implemented a new rule that shields them from prosecution.	mixture	https://www.snopes.com/fact-check/house-shield-from-prosecution/	None	Politics	None	Bethania Palma	None	Did House Republicans Pass a Rule Shielding Themselves from Prosecution?	26 February 2017	None	['United_States']
snes-03124	The group Demand Protest LLC is paying $2500 for people to protest Donald Trump's inauguration.	false	https://www.snopes.com/fact-check/paid-protesters-donald-trumps-inauguration/	None	Politics	None	Dan Evon	None	Is ‘Demand Protest’ Paying People to Protest at Donald Trump’s Inauguration?	17 January 2017	None	['None']
snes-00031	An photograph shows Donald Trump's mother, Mary Anne MacLeod Trump.	true	https://www.snopes.com/fact-check/donald-trumps-mother-photo/	None	Fauxtography	None	Dan Evon	None	Is This a Photograph of Donald Trump’s Mother?	1 October 2018	None	['Donald_Trump']
snes-05360	Photo depicts the Joint Chiefs of Staff giving President Obama the finger during the State of the Union address.	false	https://www.snopes.com/fact-check/joint-chiefs-during-sotu/	None	Fauxtography	None	Kim LaCapria	None	Joint Chiefs of Staff Flip Obama Off During SOTU?	15 January 2016	None	['Barack_Obama']
