snes-01605	Hugh Hefner paid $75,000 to be interred next to Marilyn Monroe in a Los Angeles cemetery.	true	https://www.snopes.com/fact-check/did-hugh-hefner-pay-to-be-buried-next-to-marilyn-monroe/	None	Entertainment	None	Arturo Garcia	None	Did Hugh Hefner Pay to be Interred Next to Marilyn Monroe?	10 October 2017	None	['Los_Angeles', 'Hugh_Hefner', 'Marilyn_Monroe']
snes-04892	Multiple news outlets reported that primary voters in New York claimed their votes were switched from Bernie Sanders to Hillary Clinton.	false	https://www.snopes.com/fact-check/votes-switched-sanders-clinton/	None	Junk News	None	Kim LaCapria	None	The Fix Is In: Sanders Supporters in New York See Votes Switched to Hillary	19 April 2016	None	['Bernie_Sanders', 'New_York_City', 'Hillary_Rodham_Clinton']
snes-05628	In accordance with a requirement of their original Royal Charter, the Hudson's Bay Company of Canada makes annual payments of elk and beaver pelts to the Queen of England.	false	https://www.snopes.com/fact-check/fur-the-queen/	None	Business	None	David Mikkelson	None	Canada Company Makes Annual Fur Payments to the Queen	15 June 2001	None	['England', 'Canada']
snes-05696	Photograph shows a fisherman in Wisconsin holding a furry trout he'd caught.	false	https://www.snopes.com/fact-check/furry-trout/	None	Fauxtography	None	Dan Evon	None	Man Catches Furry Trout in Wisconsin?	18 May 2015	None	['Wisconsin']
snes-01154	The Pentagon has disavowed knowledge of a stranded Air Force pilot after he successfully intercepted a missile near North Korea.	false	https://www.snopes.com/fact-check/u-s-pilot-shot-down-after-destroying-korean-missile/	None	Junk News	None	Kim LaCapria	None	Was a U.S. Pilot Shot Down After Destroying a North Korean Missile?	22 January 2018	None	['United_States_Air_Force', 'The_Pentagon', 'North_Korea']
snes-01294	Wikileaks released a trove of "deep state files" in late December 2017.	false	https://www.snopes.com/fact-check/wikileaks-releases-deep-state-files-deepstatefiles/	None	Junk News	None	Kim LaCapria	None	Did WikiLeaks Release a Trove of ‘Deep State Files’?	27 December 2017	None	['None']
snes-01969	People in Brooklyn are refusing to vaccinate their pets based on fears created by the anti-vaccine movement.	unproven	https://www.snopes.com/fact-check/brooklyn-refusing-vaccinate-pets/	None	Medical	None	Alex Kasprak	None	Are People in Brooklyn Refusing to Vaccinate Their Pets Over Autism Fears?	2 August 2017	None	['Brooklyn']
snes-03146	Shot Through the Heart	false	https://www.snopes.com/fact-check/palestinian-boy-shot-photo/	None	Fauxtography	None	Dan Evon	None	Does a Photograph Show a Palestinian Boy Getting Shot by Israeli Soldiers?	13 January 2017	None	['None']
snes-04167	Kinking an electrical wire stops electricity flow like kinking a garden hose stops water.	false	https://www.snopes.com/fact-check/kinking-a-live-electrical-wire/	None	Science	None	Bethania Palma	None	Kinking a Live Electrical Wire Stops Electricity and Makes it Safe	26 August 2016	None	['None']
snes-01150	Did Sylvester Stallone Say Obama Is a ‘Closet Homosexual Living a Lie’?	false	https://www.snopes.com/fact-check/stallone-obama-living-lie/	None	Junk News	None	David Mikkelson	None	Did Sylvester Stallone Say Obama Is a ‘Closet Homosexual Living a Lie’?	23 January 2018	None	['None']
snes-05124	Cameron Diaz was cast to portray Maya Angelou in a new biographical film.	false	https://www.snopes.com/fact-check/cameron-diaz-maya-angelou/	None	Junk News	None	Kim LaCapria	None	No, Cameron Diaz Wasn’t Cast to Play Maya Angelou in a Biopic	3 March 2016	None	['Maya_Angelou', 'Cameron_Diaz']
snes-02101	Giant Hawaiian Cane Spider	false	https://www.snopes.com/fact-check/false-giant-hawaiian-cane-spider/	None	Fauxtography	None	David Mikkelson	None	Giant Hawaiian Cane Spider	8 February 2013	None	['None']
snes-04081	A viral video shows a newborn baby delivered inside an intact amniotic sac.	true	https://www.snopes.com/fact-check/baby-delivered-inside-amniotic-sac/	None	Medical	None	David Emery	None	Video Shows Baby Delivered Inside Intact Amniotic Sac	7 September 2016	None	['None']
snes-03490	Members of the alt-right group the National Policy Institute can be seen on video doing a Nazi-like salute as speaker Richard Spencer calls out "Hail Trump, hail our people, hail victory!"	true	https://www.snopes.com/fact-check/alt-right-hail-trump-salute/	None	Conspiracy Theories	None	David Emery	None	Video Shows Alt-Right Group Engaging in ‘Hail Trump’ Salute	23 November 2016	None	['None']
snes-01435	Did Muslims March in Favor of Sharia Law in England?	false	https://www.snopes.com/fact-check/video-muslims-sharia-ashoura/	None	Fauxtography	None	Dan Evon	None	Did Muslims March in Favor of Sharia Law in England?	15 November 2017	None	['None']
snes-04697	Hillary Clinton is disqualified from holding the office of President under the provisions of U.S. Code Title 18, Section 2071.	mostly false	https://www.snopes.com/fact-check/hillary-clinton-disqualified/	None	Politicians	None	Kim LaCapria	None	Hillary Clinton Disqualified by U.S. Code Title 18, Section 2071	27 May 2016	None	['None']
snes-04134	Pokémon Go developer Niantic is working on a Harry Potter version of the hugely popular augmented-reality game.	true	https://www.snopes.com/fact-check/pokemon-go-developer-niantic-to-develop-harry-potter-go/	None	Technology	None	Kim LaCapria	None	Pokémon Go Developer Niantic to Develop ‘Harry Potter Go’?	31 August 2016	None	['None']
snes-06283	An Arizona sheriff dismissed prisoners' bellyaching about the heat by pointing out that soldiers serving in Iraq cope with similar conditions.	true	https://www.snopes.com/fact-check/pinking-sheers/	None	Crime	None	Snopes Staff	None	Sheriff Joe Arpaio	14 August 2003	None	['Iraq', 'Arizona']
