huca-00009	 "What the Alberta decision makes me fearful of is that we could, without legislation in place on June the 6th, be in an environment where there is no ability for a person to go to a Superior Court judge and get an exemption. That exemption opportunity ends as of June the 6th." 	some baloney	https://www.huffingtonpost.ca/2016/05/26/baloney-meter-will-exemption-opportunity-for-assisted-dying-end-on-june-6_n_10144674.html?utm_hp_ref=ca-baloney-meter	None	None	Justice Minister Jody Wilson-Raybould	Kristy Kirkup, The Canadian Press	None	Jody Wilson-Raybould's Claim On 'Exemption Opportunity' For Assisted Dying Contains Some Baloney	05/26/2016 11:08 EDT	2016.	['Superior_court', 'Alberta']
huca-00025	 "We have fully restored the interim federal health program for our Syrian refugees who will soon be on their way to Canada. Both the basic benefits and the supplementary benefits will be available to all of them." 	some baloney	https://www.huffingtonpost.ca/2015/12/16/baloney-meter-did-the-government-restore-health-benefits-to-syrian-refugees_n_8817254.html?utm_hp_ref=ca-baloney-meter	None	None	Immigration Minister John McCallum	Stephanie Levitz, The Canadian Press	None	Liberal Claim On Restoring Health Benefits To Syrian Refugees Contains 'Some Baloney'	12/16/2015 08:16 EST	Dec. 9. 2015.	['Canada', 'Syria']
huca-00012	 "The Liberals are failing Canadians by destroying investment confidence in the energy sector in Canada? The reality is this: that under the Liberals more energy investment has been lost than any other time frame in 70 years, $100 billion of energy projects cancelled.'' 	a little baloney	https://www.huffingtonpost.ca/2018/09/07/baloney-meter-theres-a-little-baloney-in-blaming-liberals-for-losing-100b-in-energy-projects_a_23520051/?utm_hp_ref=ca-baloney-meter	None	None	MP Shannon Stubbs	Teresa Wright	None	Baloney Meter: There's 'A Little Baloney' In Blaming Liberals For Losing $100B In Energy Projects	09/07/2018 09:42 EDT	Sept. 4.	['Canada']
huca-00026	 Conservative Leader Stephen Harper.	a lot of baloney	https://www.huffingtonpost.ca/2015/10/06/stephen-harper-says-marijuana-is-infinitely-worse-than-tobacco-is-it_n_8250306.html?utm_hp_ref=ca-baloney-meter	None	None	smoking tobacco is a main risk factor.	Jordan Press, The Canadian Press	None	Harper's Claim Pot Is 'Infinitely Worse' Than Tobacco Contains 'A Lot Of Baloney'	10/06/2015 08:30 EDT	None	['Stephen_Harper']
huca-00037	 Liberal Leader Justin Trudeau, Friday, May 15, 2015.	a little baloney	https://www.huffingtonpost.ca/2015/05/21/baloney-meter-is-economi_n_7350026.html?utm_hp_ref=ca-baloney-meter	None	None	Ralph Goodale.	Stephanie Levitz, The Canadian Press	None	Harper's Economic Record Worst Since The 1930s? There's A 'Little Baloney' To That Claim	05/21/2015 07:30 EDT	2015.	['Justin_Trudeau']
huca-00003	 "The prime minister has broken two promises, two direct promises that put us in this position. One was breaking the promise to renew the environmental assessment process with the (National Energy Board) and secondly a promise to end fossil fuel subsidies. He's broken two promises." 	some baloney	https://www.huffingtonpost.ca/2018/06/01/jagmeet-singh-liberal-environmental-jab-is-some-baloney_a_23448861/?utm_hp_ref=ca-baloney-meter	None	None	Jagmeet Singh	None	None	Jagmeet Singh's Liberal Environmental Jab Is 'Some Baloney'	06/01/2018 12:27 EDT	May 23	['None']
huca-00007	 "If he (Prime Minister Justin Trudeau) is trying to dismantle universal health care by stealth, this is the way to do it: underfund it and have separate agreements with the provinces." 	a lot of baloney	https://www.huffingtonpost.ca/2017/01/12/lots-of-baloney-in-claims-that-bilateral-health-deals-could-harm-overall-system_n_14129736.html?utm_hp_ref=ca-baloney-meter	None	None	Manitoba Health Minister Kelvin Goertzen	Andy Blatchford, The Canadian Press	None	'A Lot Of Baloney' In Claim That Liberals' Bilateral Health Deals Threaten System	01/12/2017 10:13 EST	2017.	['Justin_Trudeau']
huca-00019	 "The issue around budgets, of course, is it's the House of Commons that votes on budgetary measures, and the Senate is, of course, welcome to look at it and make recommendations. But the legitimacy happens from the House of Commons on this."	some baloney	https://www.huffingtonpost.ca/2017/06/29/trudeaus-claim-about-senates-right-to-amend-budget-bills-conta_a_23008018/?utm_hp_ref=ca-baloney-meter	None	None	Prime Minister Justin Trudeau	Joan Bryden	None	Trudeau's Claim About Senate's Right To Amend Budget Bills Contains 'Some Baloney'	06/29/2017 10:08 EDT	06/29/2017 10:08 EDT	['None']
huca-00006	 "We have approved more than 1,200 projects. I would like to tell the member that more than 60 per cent of those projects are currently underway, creating opportunities for Canadians." 	a little baloney	https://www.huffingtonpost.ca/2017/02/09/baloney-meter-have-more-than-60-per-cent-of-infrastructure-projects-begun_n_14656200.html?utm_hp_ref=ca-baloney-meter	None	None	Infrastructure Minister Amarjeet Sohi	Joanna Smith, The Canadian Press	None	Amarjeet Sohi's Claim About Infrastructure Projects Contains 'A Little Baloney'	02/09/2017 09:46 EST	Feb. 7.	['None']
huca-00010	 "We expect the CPPIB, like other Crown corporations, to live up to the highest standards of ethics and behaviour and that is, in fact, exactly what it is doing." 	some baloney	https://www.huffingtonpost.ca/2018/10/18/baloney-meter-morneau-cppib_a_23565098/?utm_hp_ref=ca-baloney-meter	None	None	Finance Minister Bill Morneau during question period Monday in the House of Commons.	Andy Blatchford	None	'Some Baloney' In Bill Morneau Saying Canada Pension Plan Investment Board Has Highest Ethical Standards	10/18/2018 11:49 EDT	None	['None']
