vees-00258	VERA FILES FACT CHECK: News of Rappler CEO Ressa as FOCAP president	none	http://verafiles.org/articles/news-rappler-ceo-ressa-focap-president-satirical	None	None	None	None	Rappler,Maria Ressa,Adobo Chronicles,satire	VERA FILES FACT CHECK: News of Rappler CEO Ressa as FOCAP president satirical	April 17, 2018	None	['None']
vees-00391	VERA FILES FACT CHECK: Duterte 'jokes' about abolishing CHR, meddling with Ombudsman probes	none	http://verafiles.org/articles/vera-files-fact-check-duterte-jokes-about-abolishing-chr-med	None	None	None	None	Duterte,CHR	VERA FILES FACT CHECK: Duterte 'jokes' about abolishing CHR, meddling with Ombudsman probes	August 11, 2017	None	['None']
vees-00403	SONA 2016 promise tracker	none	http://verafiles.org/articles/2016-sona-promise-tracker	None	None	None	None	Duterte,SONA promise tracker	SONA 2016 promise tracker	July 21, 2017	None	['None']
vees-00288	Asked in a Feb. 13 press conference who would represent the government before the ICC should its preliminary examination on drug-related killings move forward, Calida questioned the authority of the international court to investigate the president. He said the 1987 Constitution is “higher than any treaty,” including the Rome Statute that created the ICC.	none	http://verafiles.org/articles/vera-files-fact-check-calida-falsely-claims-duterte-immunity	Duterte’s immunity from suit during his tenure does not stop the ICC from investigating him.	None	None	None	Duterte,ICC,immunity,CHR,calida	VERA FILES FACT CHECK: Calida falsely claims Duterte immunity exempts him from ICC probe, accuses CHR of bragging about probing the president	February 23, 2018	None	['Rome_Statute_of_the_International_Criminal_Court']
vees-00285	NO, the whole world is NOT talking about Duterte’s compassion for overseas Filipino workers	none	http://verafiles.org/articles/week-fake-news-no-whole-world-not-talking-about-dutertes-com	None	None	None	None	Duterte,fake news,Joanna Demafelis	THIS WEEK IN FAKE NEWS: NO, the whole world is NOT talking about Duterte’s compassion for overseas Filipino workers	March 02, 2018	None	['None']
vees-00409	A year under Duterte: Curses and insults	none	http://verafiles.org/articles/year-under-duterte-curses-and-insults	None	None	None	None	Duterte,duterte one year	A year under Duterte: Curses and insults	June 30, 2017	None	['None']
vees-00436	VERA FILES FACT SHEET: Duterte’s oxygen concentrator	none	http://verafiles.org/articles/vera-files-fact-sheet-dutertes-oxygen-concentrator	An electronically operated medical device that provides purified oxygen to those who require it.	None	None	None	Duterte,health	VERA FILES FACT SHEET: Duterte’s oxygen concentrator	April 07, 2017	None	['None']
vees-00404	Galvante also admitted this before the Senate three months earlier, during the inquiry on the Tanay bus crash, which killed 15 individuals.	none	http://verafiles.org/articles/vera-files-fact-check-whats-happening-motor-vehicle-inspecti	Is there a working motor vehicle inspection center in the country?	None	None	None	road safety,LTO,vehicle safety standards,MVIC,MVIS	VERA FILES FACT CHECK: What’s happening to the motor vehicle inspection centers of the LTO?	July 21, 2017	None	['None']
vees-00264	​VERA Files joins Facebook’s third-party fact-checking program in PH	none	http://verafiles.org/articles/vera-files-joins-facebooks-third-party-fact-checking-program	None	None	None	None	Fact check,facebook	​VERA Files joins Facebook’s third-party fact-checking program in PH	April 13, 2018	None	['None']
vees-00339	​ASEAN pushes for media literacy to fight fake news	none	http://verafiles.org/articles/asean-pushes-media-literacy-fight-fake-news	None	None	None	None	fake news,ASEAN50,AMRI	​ASEAN pushes for media literacy to fight fake news	November 14, 2017	None	['None']
vees-00337	VERA FILES FACT SHEET: PH’s war against human trafficking	none	http://verafiles.org/articles/vera-files-fact-sheet-phs-war-against-human-trafficking	None	None	None	None	Human Trafficking,war on drugs,Leila de Lima	VERA FILES FACT SHEET: PH’s war against human trafficking	November 16, 2017	None	['None']
vees-00158	VERA FILES FACT CHECK: Tagle said church leaders 'should govern PH'	fake	http://verafiles.org/articles/vera-files-fact-check-tagle-did-not-say-church-leaders-shoul	None	None	None	None	fake news	VERA FILES FACT CHECK: Tagle DID NOT say church leaders 'should govern PH'	June 26, 2018	None	['None']
vees-00081	VERA FILES FACT CHECK: Marcos admonishing Cory on Bataan nuclear power plant	none	http://verafiles.org/articles/vera-files-fact-check-marcos-admonishing-cory-bataan-nuclear	None	None	None	None	unproven	VERA FILES FACT CHECK: Marcos admonishing Cory on Bataan nuclear power plant UNPROVEN	August 30, 2018	None	['None']
vees-00094	​VERA FILES FACT CHECK: Duterte’s recollection of own SONA inaccurate	none	http://verafiles.org/articles/vera-files-fact-check-dutertes-recollection-own-sona-inaccur	None	None	None	None	Duterte,SONA	​VERA FILES FACT CHECK: Duterte’s recollection of own SONA inaccurate	August 22, 2018	None	['None']
