wast-00160	I look at the 20,000 jobs that have left America because of the irresponsible medical-device tax"	2 pinnochios	 https://www.washingtonpost.com/news/fact-checker/wp/2017/03/16/the-claim-that-the-medical-device-tax-led-to-the-loss-of-20000-u-s-jobs/	None	None	Rep. Kevin Brady (R-Texas)	Michelle Ye Hee Lee	None	The claim that the medical-device tax led to the loss of 20,000 U.S. jobs	March 16, 2017	None	['United_States']
wast-00171	"I did not support the war in Iraq."	4 pinnochios	 https://www.washingtonpost.com/news/fact-checker/wp/2016/09/27/fact-checking-the-first-clinton-trump-presidential-debate/	None	None	Donald Trump	Glenn Kessler	None	Fact-checking the first Clinton-Trump presidential debate	September 27, 2016	None	['Iraq']
wast-00073	Kavanaugh, who could be presiding over a case should the Pres be indicted, thinks that the Pres can't stand trial. Trump has nominated a get-out-of-jail free card.	2 pinnochios	 https://www.washingtonpost.com/news/fact-checker/wp/2018/07/11/does-brett-kavanaugh-think-the-president-is-immune-from-criminal-charges/	None	None	Carolyn B. Maloney	Salvador Rizzo	None	Does Brett Kavanaugh think the president is immune from criminal charges?	July 11	None	['President_of_the_Philippines']
wast-00198	Hillary Clinton doesn\'t believe in your right to keep a gun at home for self-defense.	4 pinnochios	 https://www.washingtonpost.com/news/fact-checker/wp/2016/08/15/the-nras-false-claim-that-hillary-clinton-doesnt-believe-americans-can-keep-guns-at-home/	None	None	National Rifle Association	Glenn Kessler	None	The NRA's false claim that Hillary Clinton doesn't believe Americans can keep guns at home	August 15, 2016	None	['None']
wast-00194	"The policies put into place by Rudy ultimately brought down crime by 76 percent and murder by 84 percent."	3 pinnochios	 https://www.washingtonpost.com/news/fact-checker/wp/2016/08/19/trumps-claim-attributing-the-20-year-new-york-city-crime-decline-to-giulianis-policies/	None	None	Donald Trump	Michelle Ye Hee Lee	None	Trump's claim attributing the 20-year New York City crime decline to Giuliani's policies	August 19, 2016	None	['None']
wast-00080	The head of U.S. Steel called me the other day, and he said, \xe2\x80\x98We're opening up six major facilities and expanding facilities that have never been expanded.' They haven't been opened in many, many years.	4 pinnochios	 https://www.washingtonpost.com/news/fact-checker/wp/2018/06/28/president-trump-announces-a-major-u-s-steel-expansion-that-isnt-happening/	None	None	Donald Trump	Glenn Kessler	None	President Trump announces a major U.S. Steel expansion \xe2\x80\x94 that isn't happening	June 28	None	['None']
wast-00052	The reason that the Supreme Court upheld the Affordable Care Act is because they ruled that each of these monthly payments that everyday American make is a tax."	false	 https://www.washingtonpost.com/news/fact-checker/wp/2018/08/10/fact-checking-alexandria-ocasio-cortezs-media-blitz/	None	None	Alexandria Ocasio-Cortez	Glenn Kessler	None	Fact-checking Alexandria Ocasio-Cortez's media blitz	August 10	None	['United_States']
wast-00070	President Trump mentioned the issue of the so-called interference of Russia with the American elections, and I had to reiterate things I said several times, including during our personal contacts, that the Russian state has never interfered and is not going to interfere into internal American affairs, including election process.	false	 https://www.washingtonpost.com/news/fact-checker/wp/2018/07/16/the-facts-missing-from-trump-and-putins-news-conference/	None	None	Vladimir Putin	Salvador Rizzo	None	The facts missing from Trump and Putin's news conference	July 16	None	['United_States', 'Russia']
wast-00029	When times are tough, we budget for our families. But when our state's budget was in crisis, Phil Bredesen supported higher taxes on us: higher gas taxes, sales taxes and more.	3 pinnochios	 https://www.washingtonpost.com/politics/2018/09/06/koch-funded-group-misfires-with-attack-ad-phil-bredesen/	None	None	Attack ad by Americans for Prosperity	Salvador Rizzo	None	Koch-funded group misfires with attack ad on Phil Bredesen	September 6	None	['Phil_Bredesen']
wast-00184	"What did these geniuses expect when they put men and women together [in the military]?"	3 pinnochios	 https://www.washingtonpost.com/news/fact-checker/wp/2016/09/08/no-trump-and-lauer-military-sexual-assaults-are-not-about-men-and-women-having-sex/	None	None	Donald Trump	Michelle Ye Hee Lee	None	No, Trump and Lauer: Military sexual assaults are not about men and women having sex	September 8, 2016	None	['None']
wast-00202	"Many people are saying that the Iranians killed the scientist who helped the U.S. because of Hillary Clinton\'s hacked emails."	4 pinnochios	 https://www.washingtonpost.com/news/fact-checker/wp/2016/08/09/trumps-remarkable-suggestion-that-clintons-emails-led-to-an-iranian-defectors-death/	None	None	Donald Trump	Glenn Kessler	None	Trump's remarkable suggestion that Clinton's emails led to an Iranian defector's death	August 9, 2016	None	['United_States', 'Iran']
